number,review
1599,"Original review: May 17, 2016
I took a 13.00 fare to pick up a car for my company. I had all of my stuff, which included 2 phones. As soon as the driver left I realized I forgot 1 of the phones which I with android device manager while emailing both he and Uber support 7 times each over the course of the next hour. The driver answered his phone once and obviously knew I was calling about my phone as the Uber automated system tells him that when it auto calls. He hung up and then did not answer again for another hour. Uber responded back with ""wait a while"". After the hour of trying I texted and left a VM that simply said, ""I know you have my phone because I can see it on GPS, please call me back."" Well this moron obviously is not aware of gps technology and probably figured he was caught so he called me back. The conversation was unintelligible as he repeated over and over that he wasn't in my city any longer and couldn't get right back. 
I mentioned that he was in the city the first hour I called, but I gave him the benefit of the doubt - I understand a passenger leaving an item is a bit of a pain in the ass for a driver. My plan was to throw him some cash for his trouble and I even offered for him to put on the meter for his time up and back home to expedite the process. He said in 30 mins from that time he would be on the way. 5 more emails to Uber with all this info - response - ""can you be more specific"". After another hour I call and his phone is now straight to VM and has been ever since. My phone has also turned off either due to battery or the idiot driver. Still not even a whisper from Uber.
To add insult to injury - I am an Uber driver!!! I would never do this to someone. I don't understand what type of person would jeopardize their ability to earn income over a cell phone. You can make that money in a couple of hours. With that said, it's obvious that Uber has no standards regarding their drivers, so they probably won't ever make contact or penalize him. They probably are creating a new service called ""Uber hot"" where they sell off all the items that get left behind and the drivers get a cut. I don't have the ability to give 0 stars, but that is definitely my recommendation. I am totally grossed out with the level of concern I received from Uber, which is ZERO. MY only hope at this point is that karma repays them both for being total scumbags.

                    
                "
1600,"Original review: May 4, 2016
The truth is that Uber sucks. What we need is serious improvement on the taxi system rather than replacing it with a gigantic corporation that has way, waaay too much power in a unregulated market. Uber is too big to be controlled and that is a serious threat workers and consumers. I had an important medical appointment yesterday. I'm being treated with scheduled shots for a serious medical condition. The Uber driver who was supposed to pick me up cancelled the trip because of surging prices. Each and every time I tried to get an Uber car it was the same thing. The app showed the car arriving in a few minutes, but you could see the car taking turns and driving around to have me cancelling the trip and allowing him to make more money on another trip due to surging rates. It has happened many times in the past and the internet is full of negative reviews stating the very same problem, which I've heard from friend in Brazil as well.
Uber automated customer service is designed to look like a real person is responding to the endless number of complaints and taking no action. After a few passionate messages from my end, Uber sent me 5 dollars as a refund. Refund for what? That did not prevent the problem from happening again. In essence it fixes nothing and aggravates me even more. Be aware of the scam! Uber is not cheaper than a cab. This is simply not true. In addition, making a video to be watched online is not training drivers. This claim that drivers are better prepared than regular cab drivers is pure **.
I've been picked up in Miami by a driver who was riding with her mother on the passenger's seat. I nearly lost my flight as the driver had the nerve to stop at a Walgreens to buy snacks and got lost on her way to the airport. You may argue that it is the driver's fault. Not Uber's. Well, this is another reason why a multi-billion dollar corporation is scamming the world without being held accountable for anything. You did not use the driver's app. You contract Uber and the company does nothing for you when things go wrong. Don't help drivers in trouble, don't help consumers being disrespected. Be aware of the scam! I'm never using Uber again. Have asked repeatedly to have my account deleted and guess what? They haven't claiming that they will do it at their own terms. What the heck does that mean? It's my account. Why they have to have a say on it? Rejection junkies? I think not. Corporate greed on its best. Be aware!

                    
                "
1601,"Original review: May 2, 2016
My interaction with UBER support has turned out to be very unprofessional with an unfair final decision leading me to ask how can anyone count on such company to stand up for their well being and safety as a partner. UBER will not assist his partners in any safety incidents but rather take a step back and cut all ties whenever you as a partner find yourself in a situation that would qualify to be dangerous for your safety. I got assaulted, got some weird smelly liquid sprayed inside my car with no idea of what it was, a bottle thrown at me, my car kicked by that same rider (luckily there wasn't any dents), and then when I call the safety line to report the incident, my account got terminated for having to physically remove that rider when she tries to jump back inside my car while I am not even in it. ""God knows what her intentions were."" Do the math."
1602,"Original review: May 2, 2016
I use Uber service very often and liked the service until the recent experience. I called for UberX service for my family pick up from the airport. All went well until next day new charged appeared by Uber called ""upcharge"". Apparently I had 5 passengers in a 4 max car service. Driver never notified me of this policy or garage us a warning and drove us. Later on Uber decided to ""up charged"" due to extra passenger. I believe this is illegal since I was never told of this potential extra charge. Consumer should be given a upfront notice prior to picking up a passenger."
1603,"Original review: April 27, 2016
I have been using them for a while and it was great. However, recently I noticed that they are charging me at their own free wish and disregard my numerous concern or question to help. These are some of my observation on my recent use: App shows they are 1 minute away, so you click on them to pick you, then they won't show off until 15 to even 30 minutes (in freezing cold winter, snowy or rainy days).
If you cancel them to order another cab (since they don't show off, and they don't pick up phone after 15 or 30 minutes), then they charge you $5 anyways for cancellation fees, regardless of the driver's behavior, or corrupted system they have designed to charge people. So basically, they make you wait and wait under sunshine or cold weather and you are stuck with them to show off no matter how long it might take! Customers don't matter at all.
We got charged with the wrong address and wrong timing. In other word, they sent me invoice with incorrect timing and direction (than what it was in fact). This so happened when using Uber with colleagues, so everyone got to know how corrupted and careless they are. Robbery in daylight! One driver threw me out in snowy cold icy day and in the middle of a large puddle of mud!!! He cared less and just wanted to rush to the next $$!
I shared my concerns - especially being charged incorrectly by them/drivers - no luck so far! they care less! I do have pictures of my conversation with the driver (time is documented in the text msg, along with our concern of freezing weather and that we are out off the street waiting on him!), along with the receipt of being charged by Uber/driver falsely (with incorrect time of dire) to add couple of $ more! Shame on you! I do not recommend them anymore, neither do I trust to do business with them anymore.

                    
                "
1604,"Original review: April 27, 2016
I have been in business for myself for over 30 years and started driving for Uber at the behest of my wife and daughter, who thought I would have fun driving for them. I told them that I thought it was ridiculous to treat your personal car as a cab hauling people around with all costs of operation including risk on your own back, then UBER taking 25% plus riders fee as their take for virtually doing nothing except using their software. A truly incredible business model though...for them to get rich, not you...ever. No one was ever able to explain to me if it actually made dollar sense to drive, so I took a one month part time challenge driving 70 hours total on some weekdays and some weekends. Don't believe the liars who say they make $1,500 a week or more. They would have to work non-stop to even come close, and even then, the other costs that Uber takes and the cost of maintenance, insurance, gas, etc. would make that evaporate. 
Based on AAA costs of operating a motor vehicle for a mid-sized four-door sedan driving 20,000 per year (you will double that with Uber) the cost is at $0.48 per mile which includes gas, maintenance, insurance, depreciation, financing (unless you own outright) tire wear and tear, and several other factors. I did long airport runs and short city runs (longer runs make more $) and drove 2,142 miles over 3 1/2 weeks in April 2016 making a total after Uber cuts of $1,076.82. The AAA based that $0.48 on $2.85 gas which is more like $2.00 now, so take that into account now which would put operating costs today at 30% lower for FUEL ONLY and not the other expenses, so let's put it at $0.42 instead of $0.48. This is pretty simple math, so look at the facts. Instead of $1,030 cost to operate at driving 2,142 miles it will be $900 because of $2.00 gas. 
I made $1,076.82 before taxes and my operating costs were $900 giving me a net total of $176.82 for 70 hours of work. Now my car is paid off and will have lower depreciation, but that is about $2.53 per hour after expenses if your car is newer and not paid off. They tout you can make $16-$20-$30 an hour. In the REAL world you are actually making $1.60-$2.00-$3.00 per hour. I hope this helps people who have never been in business and who UBER and LYFT and any other companies out there that take advantage of others to get rich. These people will win in the end though and will be laughing all the way to the Bahamas when the scam runs to the end. Hope this helps anyone who does not just want to do this for fun, but thinks you can pay your bills with this ""job"".

                    
                "
1605,"Original review: April 26, 2016
I have been using Uber religiously for 2-3 months now. Everyone had bad things to say about not trusting them, but because I had mostly good experiencing I defended them, UNTIL! They started to charge you however they feel, the app says if you cancel 5 mins after you've requested, you get charged, fair enough! But I have requested and wasn't happy with my wait time and cancelled within seconds and was charged. On 3 occasions this happened, fortunately they credit back my account. Once, a driver cancelled on me because he PREFERRED a trip to downtown Toronto, I got charged for that. They refunded it too after I disputed it.
I've have complained way too many times about the wait times, 15-20 mins in my bust area because the pro of driver's flexibility is also a con, because they work when they want to which decreases the reliability of an Uber when needed. Today was my last straw with Uber because I can only imagine when they get the full 100 from the city to carry on with their business fully without taxi drivers complaining. I requested my Uber as normal and got my wait time of 11 mins, that's fine, 5 mins before my driver arrive they send me notice that my surge price is 1.3. I NEVER ACCEPTED SURGE PRICE. I screen shot this immediately and send to them. They start to explain surge pricing and how it works. I KNOW HOW IT WORKS! I've used it many times! They refuse to refund me, mind you, had I cancel that trip, I would of been charged $5 because they sent way past 5 mins.
My two cents, stick to regular taxi's because (1) You can depend on Uber when drivers decide to work they want. You'll be late to your destination; (2) If it's raining or snowing or the Sun is too HOT, drivers do not want to come out unless the price is surged, which means you end up waiting 5-10 mins and you pay the price you would pay for a regular cab. The point of a cab is reliability when time is against you. Uber removes that when their drivers work when they want and only in extreme condition when the price is surged.

                    
                "
1606,"Original review: April 26, 2016
I've been using Uber regularly for about a year now. I have had only positive experiences so far, except for one instance when a driver tried to scam me. She accepted my request, and a minute or so later, the app status suddenly changed to ""on trip."" I thought this was very strange and assumed perhaps there was a glitch or maybe the driver had accidentally hit the wrong button, so I canceled and requested again. I was connected to the same driver, but surely enough the app said I was on my way after a few moments. Again, I wanted to give my driver the benefit of the doubt and I chalked it up to the fact that I haven't updated Uber yet. However, I noticed that her car was starting to move along the route toward my destination. Interesting. I thought maybe she was trying to turn somewhere, but she just kept going, and it became clear that she was going to take me where I wanted to go without me in the car at all.
So I immediately canceled that ride. A few minutes later I got emails showing that I'd been charged for both ""trips."" So I used Uber's Help tool to dispute the charges, and fortunately, after just a few minutes I was refunded once with my actual money and once with Uber credit. So I'm at least glad that I immediately got my refund.
So, yeah, take from this what you will. Uber is generally safe and reliable, but like in any field or profession, there are going to be some bad people. The best thing you can do is be aware of the kinds of scams drivers may try to pull, including: planting fake vomit in the car and having you charged for it, Not ending the ride after you arrive at your destination, so the app continues to charge you after you've exited the car, Claiming you had multiple other passengers in the vehicle with you so they can charge extra, Starting the ""trip"" without picking you up.
It seems like Uber has gotten better about addressing complaints and issuing refunds, so that's good, but it helps to be aware that these things can happen. The sooner you report it, the better. But after dozens of rides in the past year that were perfectly fine, I'm still very satisfied with my service. All of the other drivers I've had have been at the very least pleasant, and some of them have been exceptionally polite and helpful - I've had many drivers help me unload groceries and carry them to my door, and I've had people pick me up for rides of less than 1 mile when I injured my ankle, even though drivers get paid very little to make small trips like that.
So, if you're reading these reviews, please just keep in mind that people usually take to these places to complain, so the results are going to be very skewed toward the negative side. I'm glad that sites like this exist so people CAN complain and warn others when things go wrong, but just take them with a grain of salt.

                    
                "
1607,"Original review: April 26, 2016
I called Uber to go home, usually I get charged less than $5. Yesterday night after work I called an UBER. I noticed that the driver took a different route, I even asked him and he said the GPS was telling him the direction. I got home and got charged $6.12. No problem, everything was fine. Then today, I got an email saying that the driver miscalculated the mins or whatever so I got charged additional $20.40. I AM SO UPSET! I FEEL SCAMMED BY SOMETHING I TRUSTED for 2 years. Please don't ride UBER anymore. Some drivers are greedy and want money out of their passengers. Too bad he scammed the wrong person. I am not stopping until I get my money back. I already told my family and friends that UBER is a scam. I don't want them to experience what happened to me. Do not trust Uber. "
1608,"Original review: April 23, 2016
I signed up today because I may need a driver on a weekend. Well when I activated the app on my phone a driver showed up and kept honking the horn. I told him I didn't request a car or service yet. 3 hours later another driver showed up and told me rudely that he was going to charge me regardless. And I showed him my phone and it stated that I didn't click anything. So I deleted the app and will not sign up. If charged I will sue this company for their stupidity."
1609,"Original review: April 20, 2016
I am a driver. Uber failed to pay me for an incentive that they were having. Instead they deactivated my account saying I have low rating which I do not think it is low rating. I cannot please everyone in the world. My ratings is better than what they have on this site. I would like this problem solved."
1610,"Original review: April 20, 2016
I have the app and they estimated an amount that was from $15.00 to $59.50. The difference is very big. I will not use this AGAIN!!"
1611,"Original review: April 19, 2016
My best friend was driving for Uber, mostly on busy nights, when the rates were high, and when the surge area was busy, so I went with her a few times, so she feels safe. They ripped my friend off with her getting paid. Emailed her and said passengers complained and said she seemed intoxicated, and driving too fast, and speeding, which is Not true.
So at that time when we had no idea what was going on at that moment, Uber turned off her Uber app, and sender us to another rider's home to pick up for 20 mins or so. At the same time this rider is complaining asking her where she is. After us waiting and she receives these false complaints from Uber about the drunk driving and driving drunk and telling her they will cancel her account at the same time driving all that way, and went for 2 riders.
The one cancelled and she said that we are taking too long and the other we waited for 20 minutes and the guy never showed up. And at the same time she was getting mean comments from this man and overturned off her application. We had no idea what was going on it after we drove all that way, and then we decided to be done for the night because we don't know why that we were at was off and driving all that way back and forth a couple times and getting cussed out from other writers because of uber.
Also she's also trying to call them and she couldn't even get a hold of them and they have not even contacted her to tell her any of that information. They only email her. There is no type of business at all. If that's how they work I am never going to use Uber. Also heard that they have a GPS on their phone and they could track every move you make and see what you're doing at all times and know exactly where you are and don't care about what right if it's in the car and rips people's credit cards off. And my friend never got paid for what she did that night and some countless other times. They need to go out of business. You can't even contact them. They're ripping off his credit card and they only take certain types of credit cards. This is a horrible company and they need to go out of business.

                    
                "
1612,"Original review: April 16, 2016
On the evening of 5th April 2016 I called for an Uber car to take me from Dallas/Fort Worth airport to the west side of Fort Worth. I had just come in on a flight from California. Betty showed up in a white Mitsubishi Gallant. She lives in Irving and works the mid-cities area. We traveled to my destination and had pleasant and polite conversation on the way. I sat in the front of the car. Soon after the ride was complete I was informed that my ride was $46.43 which was reasonable for the distance traveled. The next day I received a tag on fee of $200 to cover clean-up of vomit on the front seat of the car. I checked on Google to find that the vomit scam is alive and well and apparently 'Uber Betty' is using this to screw her passengers and boost her income. I was emailed bogus pictures of my vomit.
Uber were useless in assisting with this claim as they are all but unable to be contacted. It was PayPal that reversed the charge after I filed a complaint with them. I would urge you that if you use Uber, take photographs of the front and back seats and the license plate of the car to protect yourself from being scammed like I was. I would further advise you that if 'Uber Betty' arrives in her white Mitsubishi Gallant, run like hell. She will screw you and you might not be as lucky as me in getting your money back.

                    
                "
1613,"Original review: April 16, 2016
My son used UBER to and from school which is 3 miles at least 3 days a week @ approximately 7$ each way. Lately, UBER has increased dramatically from 7$ to 37$. Talk about taking advantage of the consumer. A taxi would've been more reasonable. I'm so disappointed with this company and gladly have deleted my account!!!"
1614,"Original review: April 15, 2016
I have been now been told/advised that at twenty-seven Uber charges on my credit card within the past three months. During this time my father got sick. He went hospital stage 4 cancer and the hospice and passed away. No I wasn't paying attention to these little tiny charges but the driver should have been. How can you take someone, make an Uber account and then not ever show a credit card? They don't have the credit card. They have an internet so what is it? We're not match driver's license to a credit card. What is wrong with you people? You are as much to blame as the people that I'm getting thrown in jail. You need to change your policies Uber account. You need to have a driver's license or not a driver's license because you don't have a car but something that can show who you are and they're not stealing people's credit accounts or PayPal accounts to ride in your damn car. Should be ashamed of yourself."
1615,"Original review: April 12, 2016
I take uber 6 x per week to and from work for over a year now. The charge is 30.00 each way. Last Sunday @ 800 pm they charged me an extra 35.00 for the exact same ride. It was not a holiday. The weather was good, no reason for that ridiculous price. When I wrote to complain they gave me a ridiculous reply. I hate what they do to the people of nyc."
1616,"Original review: April 11, 2016
This guy from Houston gave me a ride through uber about a month ago. After chatting for a while, he informed me he was from Houston. He has a nice Ford Explorer. He said he was working in Austin for SXSW to make extra money. I didn't think anything of it but checked my account yesterday. There was almost $100 charged at the Wal-mart in Humble, Tx which is just outside of Houston. Coincidence? You're busted scumbag! I will do everything in my power to get my money back and give you a bad name.
He drives a Ford Explorer and is from Houston. I'd you remember him, check your account. You will probably have money missing. I loved uber until this incident, so I may have to try lyft. If you use uber, check your account for unapproved charges. I will be checking my account every day. I hope they catch you. GOODLUCK because I will press charges. You scumbag.

                    
                "
1617,"Original review: April 10, 2016
My Uber driver took me 20 minutes out of the way, causing my fare to be $36 instead of $18. I complained to Uber, but to no avail. What a crappy company."
1618,"Original review: April 9, 2016
I tried to use Uber for the first time today and what a joke. The Android App is the most amateur and unusable app I've ever seen. Seriously. Who designed it? It is completely not logical, follows few if any standards, completely non-intuitive. I seriously wonder if you need to take drugs to understand how to use it. I'm not even joking. Head meds, crack cocaine - something. The website is even worse. The absolutely least user friendly and non-functional website I have ever seen from a company larger than 5 employees. What's up with that? Then, if you get through all of that, which takes a roughly 2 hour learning curve because the app makes no sense until you start trying random things - it only accepts certain KINDS of credit cards. It wants bank cards so it can presumably drain your bank account at will, but rejects secure cards that limit the damage criminal companies like Uber can do. That's nice.
Last, there is no explanation anywhere of the terms. You have to scour the web and go to forums unless you can guess the made-up terms they use. I wish New Mexico's G Ride would go national - it is INFINITELY better. I absolutely do not trust Uber, am deleting my credit card info, and keeping a close eye to make sure they don't steal from me because I have absolutely no confidence in them based on their sheer incompetence. Reading the reviews I know I am making a great choice. I'll walk or call a cab.

                    
                "
1619,"Original review: April 4, 2016
I was a driver for Uber. I kept a record of my trip history from, which included the time I received the call for pick-up, the time of pick-up, the time of drop-off and what the mileage was when I picked up and dropped off the rider. When I reviewed my trip history with what Uber paying me for, I discovered that there was substantial difference in mileage that from my car, and Uber is showing. Some trips were short, over 3 miles! Uber refused to pay me for all the discrepancies I showed them. One trip they charged the customer for, but didn't pay me anything! Thank God I kept a detailed record off what I did. I was cheated out of 38 miles of travel. I could go on but I am using a library-timed computer.
Updated 4/7/2016 - Just reviewed my pay statement from Uber, and once again, I am totally convinced that they are totally unethical and outright dishonest, putting it lightly. As I stated in my last complaint, there was one ride I wasn't even paid for. I went to Uber last week with my list 16 discrepancies, wherein each discrepancy was about the mileage that I recorded from start to finish, vs what Uber was showing and paying me on. 
The Uber rep told me, regarding the ride I wasn't paid for, that they charged the customer $25.08, which I noted on my list, and that they would make an adjustment for that, and it would appear on my next statement. However, upon reviewing my pay statement, they are showing that they charged the customer $19.08!! They also completely changed the numbers on another trip that originally showed $9.55 fare down to $5.20! It was showing I would get $7.16 of the $9.55, but now shows only $3.90, based on the revised $5.20 fee! 
I guess they don't think people screen their pay statements, but I do, and I happened to make a copy of the statement before the numbers were changed, thus I was able to capture how they changed the figures. I really wish someone would audit them and verify if what they are charging the customer, whether they are paying the driver their fair share. Based on what has happened to me, on the trip I had been told what they charged the rider $25.08 and what they put on my statement ($19.08) is absolute proof they are not honest, as well as the other issue.

                    
                "
1620,"Original review: March 31, 2016
After signing up with uber I tried scheduling a ride to the Palm Springs CA airport. What a useless website, I finally gave up. No assistant on the website or phone # to call. Then I read the reviews and was thankful the website did not work."
1621,"Original review: March 28, 2016
The second email said if you do not use it you will lose it. So we decided to use it from Hollywood Beach Fl to Miami Beach Fl this past Saturday afternoon. Then our card was charged and it did not have the discount removed from bill. I wrote them since there is no telephone to call. I sent many emails with copies of the promotional email they sent twice. Every response was from different person and each response said that the promotion was already used in Nov 2015 for my account. I wrote how can that be when the two emails from your Company were dated Feb 18 2016 and March 21 2016? No response except to repeat that we do not get the $20 off this charge.
I will never trust them again. Besides the driver would not get out of the car to help with the two grocery boxes that we had purchased in the store. During the trip the car was hot and aircon was not cooling. On arrival home the driver again would not get out of the car to help with the boxes. I am a disabled senior and had to put one box on the street and carry one to the front of the building and someone was just about to take the box when he saw me. That is a horrible experience with Uber in Miami Beach Fl. March 26 2016.

                    
                "
1622,"Original review: March 22, 2016
Right after I left the car I realize I left my important school supplies there and called when the driver was still literally down the street and didn't pick up any off my calls. I left a voicemail and Uber didn't even help."
1623,"Original review: March 21, 2016
This is my personal experience on 20th March, 2016 with Uber cab service. At 10.30 PM I was being threatened by a driver and I was trying to reach someone from UBER. Now see this, nowhere in the internet I could find any customer care number. I raised multiple complaints in 10-15 mins on UBER app. Until now (even after 20 hours) I did not get any response or call from them. Thus, there is not credibility or authenticity.
Being a local Hyderabadi resident, I could deal with this abusive driver in my own way. But trust me, IT IS VERY UNSAFE TO USE UBER CAB SERVICE as you may not be able to question anyone if you get screwed. You don't have any authorization, I am not sure how government is allowing these services to run as even in the case of emergency, you do not have a local customer care number attached to it. I am in dilemma whether to raise police complaint against this driver who was calling my mobile continuously for an hour until midnight. Scared to imagine if I was a single non-local girl/lady in that situation. Pathetic.

                    
                "
1624,"Original review: March 19, 2016
My experiences are mixed, with a couple of good rides, but on the whole were negative. Actual experiences: Bad - surge pricing has no upper limit. A trip which normally costs about $20 ended up costing almost $150 due to Uber's uncapped surge pricing policy. Uber has no city or government limit on prices, meaning that they can pretty much gouge what they want, as opposed to taxis who have rates limited by law. Often the surge pricing does not reflect the reality of what the demand and cost actually are out in the streets, extending beyond the actual ""surge"" in demand in order to add a little extra.
Bad - A trip was in a vehicle which was so poorly maintained that all the warning lights on the dashboard were flashing, and the vehicle was noticeably shaking/swerving. The driver was struggling to keep the vehicle in the lane, narrowly avoiding collisions with other vehicles. I was literally in fear of my life. Bad - When pooling with another rider, a driver refused to take us the most economical (and fastest) route, driving about 12 miles out of the way (and past one of the destinations twice) telling us that the Uber management had told him to go by the GPS route and could not deviate from it in anyway, getting angry with us when we pointed out the cost benefits of decent route planning.
Good - A friend was drunk had had to be shipped home, (in return for a good tip) the Uber driver called us to let us know she had been dropped off safely and that she had made it inside her apartment without issue. Good - Pickup times are ok, usually I can get an Uber within 15 to 20 minutes of ordering. Bad - Drivers accept trips and then cancel ten minutes later, leaving you stuck to order again. This seems to happen a lot at the cusp of ""surge"" pricing times, meaning the pre-surge price you originally ordered at is now increased.
Bad - Even though drivers can cancel without reason or at the last minute at no cost to the driver, Uber charges passengers a cancellation fee. Bad - Even though city ordinances for ground transportation are clear, in that Uber could (if it wanted) operate entirely legally with only minor administration costs, a notarized application and a city bond, Uber has decided that obeying the law is not acceptable, and is fighting to get the law changed. Odd that small companies can follow the law, pay fees and bonds, and make a profit, but a multinational corporation can't seem to find the time or money to complete a little paperwork.
Mixed - Some Uber drivers have excellent navigation skills and know the city well, knowing the back routes past traffic and obstructions, others seem to be unable to read a map, follow GPS or listen to route suggestions from long-term residents, some seem unable to even use their eyes and read road signs, whilst at least two drivers I have had have been able to get lost finding their way around a small parking lot.

                    
                "
1625,"Original review: March 18, 2016
I used Uber from Sky Harbor airport. First a UberX got wrong address and called from nowhere after 10 minutes and asked me cancel trip since she went to wrong address and far away from me, Uber charged me 5 dollars for cancellation and unexpected. Second time Uber directed me to select UberSelect and got the driver. He was late, before I took his car I asked the price and he said he is Uber SELECT and it cost 60 USD to my home. I go to Sky Harbor very frequently and it is exactly 30 miles from my home. He took the longest route and charged 95 USD for 38 miles. Will never take UberSelect, or Black or SUV... They have a base charge, charge/mile and then the charge for time, a complete rip off"
1626,"Original review: March 12, 2016
I had a Uber driver pick me up at a restaurant in Chicago and requested a ride to hotel, only 2 miles away. Since I was a tourist I had no idea how to get to my hotel and neither did my driver. He didn't know English or how to use MapQuest. He drove around for 20 minutes in a circle. I had to get on my iPhone and give him the instructions to get to Chicago O'hare Sheraton. And since he got lost, I got charged $30!!! On paper, Uber sounds like a good idea, but in reality it doesn't work. The drivers are not trained well, their cars are dirty, they are just jumping from fare to fare without any regard to the customers. Uber is a hot mess."
1627,"Original review: March 9, 2016
I called over for the first time is to get a ride from Minneapolis-St. Paul airport to a local home in Mendota Heights. I had done this route before via taxi and was charged $18. Over estimated fare was $22-$32. I canceled the Uber driver after he called me several times and texted me. I thought it was supposed be cheaper than other taxis."
1628,"Original review: March 7, 2016
Do not use Uber!!! I used Uber almost every day for the past 6 months and this past Friday I was charged $58 for a $8 ride!! The driver reported that I spilled something in her backseat. Upon me entering the car I told the driver that there was a little spill and she replied ""It's ok I have napkins upfront"". There wasn't a letter or email to inform me that an additional $50 was being extracted from my account. I am a student and that money was for my senior dues, smh. Thanks Uber!!! STAY AWAY FROM UBER. USE LYFT THEY ARE MORE AFFORDABLE THAN UBER AND YOU FREE RIDES!!! If you do use Uber keep track of your account so they don't rob you like they robbed me."
1629,"Original review: Feb. 29, 2016
My sister and I had a quick ride from one bar to another on Saturday night in LA County. The driver dropped us off right by the bouncer who can confirm that neither of us was drunk and driver didn't have any interaction with us when we were leaving/expressed concerns. We had no liquid on us as well (if it is a spill). Later I found out that I was charged $200 cleaning fee. I reached out to Uber who sent me a picture of the wet seat. This mess does not belong to me however Uber still charged me a cleaning fee. They trust their driver but not their customers. I strongly believe that it is the way for Moustafa (my driver) retaliated against me because he believed that I would give him poor ratings since we had an unpleasant talk that night. Earlier that night he picked up wrong people and made me wait for over 20 minutes to come back pick me up. This driver is lying."
1630,"Original review: Feb. 27, 2016
I use both Uber and Lyft occasionally and have found both services very convenient. However I think Lyft does a better job of screening their drivers. A recent ride with Robert on 2/16/16 started out fine then he aggressively began to proselytize and ask me if I would accept Jesus Christ as my personal savior. I was trapped for the ride and he was on the freeway speeding and weaving on the road. I began to pray that's for sure! I let him talk so I could get home and have him drop me off a block away from my house. Never again for Uber!!"
1631,"Original review: Feb. 25, 2016
Took Uber to airport. Driver barely spoke English. He charged me 13.00. Yahoo. Impressive. Dropped me off at a parking lot. I had to walk over a block to airport. The communication with him was horrible!!! Then took it back home from airport to house. With a new non English speaking driver. Who wen I finally got him to go the right way. Got my charge this time 50.73$. WOW!!! "
1632,"Original review: Feb. 16, 2016
A request for a UBER driver roughly on Feb 6th 2016 to pick me up at Wal-mart. According to the driver it would take her about 10 minutes to arrive at my location. When she didn't show, I called her for her ETA. She asked if I was in LA Mirada which was about 20 minutes away. I was in Stanton. Then she said that she had another pickup and had to cancel mine. On Feb 8 UBER took out $5.00 from my checking account saying it was for a no show... For a no show? How can it be a no show when the driver never showed. I called UBER and told them about it and they reimbursed the $5.00 but then on the same day took out the $5.00 again. 
I emailed them again asking for the refund. They asked for my card number and other info. Today is Feb 15 and NO REFUND. Why should I pay for something I never received. I told them to cancel my account and reimburse the $5.00. Now UBER is saying that they can't give me my money back because I closed my account. All of this problem began on Feb 8 (7 days before I asked them to close the account). I WILL NEVER USE UBER AGAIN. I am also asking my friends who use UBER to cancel their accounts with the company. UBER in my opinion is the worse company. I DON'T recommend them to anyone.

                    
                "
1633,"Original review: Feb. 14, 2016
I missed an important meeting at work because I had to walk a few miles in the middle of nowhere. This is because Uber would not work. They were updating the icon on the smartphone, which took an hour. I could not use the app while they were updating this icon. Absolutely absurd. They are losing customers because of silly updates like that. At least I have a pretty icon I can look at on my phone. They won't get my business again. It's back to calling taxis."
1634,"Original review: Feb. 11, 2016
I work for Uber and even add people this company and when a deer hit my car because I wasn't online with uber they refuse to help fix the car. My insurance can't help because I work for them. All I needed was a door but they refuse to help. Uber left me to pay 1500 on my own and out of my wallet for a car that I got through them with least a half of gas that I had to fill on my own. Uber is not a place to build a career or tell anyone."
1635,"Original review: Feb. 10, 2016
I took Uber from Jacksonville Beach, FL to Jacksonville airport. The normal fare was $23.53 but Uber added surge fare of $54.12 for a total fare of $77.67. Additional surge fare was ridiculous. I'll not call Uber again."
1636,"Original review: Feb. 8, 2016
Sunday January 31st, I requested Uber with 2 friends to go home. It was surge pricing 4.3x, which was fine, considering my drop off location (my apartment) was only 7 miles away. The driver arrives, picks us up, then we drive home, get dropped off. Everything is fine up until this point. Next day I checked my phone, never got any type of email receipt (usually I get them immediately after I get dropped off) so I begin to think they didn't charge me. 
Several days go by, and still no receipt then comes Thursday, February 5th, I receive the receipt. Are you ready?? For $424.08!! At my shock, I immediately file a claim with UBER via email, since they don't even have a phone number. I explained to them my story and they said we need to hear the driver's story. They emailed me back and said, that I instructed the driver to drive 2 other passengers to 2 other drop off points 80 miles away. This is a blatant lie, as my 2 passengers got off with me at the drop off point. 
After I hear this absurd story, completely fabricated by the driver, who just wanted to run up the meter, I become outraged. UBER is taking the word of a con-artist thief driver, over a loyal customer of several years. I want to file suit against UBER since they are not cooperating with me. I was basically robbed of $424.08.

                    
                "
1637,"Original review: Feb. 7, 2016
Uber, think twice. January I was flew out of Orlando to London. I called Uber. I live approximately 8 miles from airport. Going they charged me $13.00, week later to pick me up at MCO to go home charged my AMX $61.00. Tried to call, email, good luck."
